<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2016.04.05	21:00:00	1229.69	1230.25	1227.06	1228.54	3969	0	0
2016.04.05	22:00:00	1228.56	1231.96	1227.42	1230.44	4873	0	0
2016.04.05	23:00:00	1230.43	1231.21	1229.48	1231.21	1408	0	0
2016.04.06	01:00:00	1231.58	1231.81	1229.14	1229.59	1536	0	0
2016.04.06	02:00:00	1229.59	1230.91	1229.30	1230.91	1978	0	0
2016.04.06	03:00:00	1230.89	1232.22	1228.63	1231.27	8271	0	0
2016.04.06	04:00:00	1231.37	1231.37	1228.97	1229.37	6278	0	0
2016.04.06	05:00:00	1229.36	1230.24	1228.17	1230.13	5294	0	0
2016.04.06	06:00:00	1230.15	1230.35	1228.95	1229.24	3572	0	0
2016.04.06	07:00:00	1229.26	1231.90	1229.03	1229.45	5418	0	0
2016.04.06	08:00:00	1229.40	1229.83	1228.22	1228.85	4453	0	0
2016.04.06	09:00:00	1228.82	1228.88	1226.24	1227.44	7014	0	0
2016.04.06	10:00:00	1227.44	1227.96	1224.74	1226.53	9797	0	0
2016.04.06	11:00:00	1226.51	1226.98	1224.41	1226.73	9573	0	0
2016.04.06	12:00:00	1226.73	1226.98	1225.03	1225.03	7301	0	0
2016.04.06	13:00:00	1224.99	1225.57	1224.11	1225.09	5948	0	0
2016.04.06	14:00:00	1225.09	1225.55	1219.40	1219.80	7449	0	0
2016.04.06	15:00:00	1219.98	1221.26	1217.06	1218.99	11304	0	0
2016.04.06	16:00:00	1218.94	1223.89	1218.59	1221.61	14998	0	0
2016.04.06	17:00:00	1221.69	1223.63	1220.18	1221.94	17872	0	0
2016.04.06	18:00:00	1221.94	1228.10	1221.40	1226.84	10867	0	0
2016.04.06	19:00:00	1226.80	1227.23	1221.82	1222.17	9321	0	0
2016.04.06	20:00:00	1222.16	1223.66	1221.89	1222.04	6530	0	0
2016.04.06	21:00:00	1222.09	1225.89	1216.18	1222.82	9829	0	0
2016.04.06	22:00:00	1222.97	1223.83	1220.60	1223.43	5743	0	0
2016.04.06	23:00:00	1223.33	1223.92	1221.95	1222.04	3595	0	0
2016.04.07	01:00:00	1222.95	1223.82	1222.67	1223.12	649	0	0
2016.04.07	02:00:00	1223.12	1225.47	1223.06	1225.21	2080	0	0
2016.04.07	03:00:00	1225.23	1226.59	1223.62	1224.50	7177	0	0
2016.04.07	04:00:00	1224.49	1226.22	1224.00	1225.71	6586	0	0
2016.04.07	05:00:00	1225.71	1226.44	1225.23	1225.43	4113	0	0
2016.04.07	06:00:00	1225.36	1227.63	1225.15	1225.77	4794	0	0
2016.04.07	07:00:00	1225.77	1230.09	1225.46	1229.64	5609	0	0
2016.04.07	08:00:00	1229.74	1231.69	1228.42	1228.51	2851	0	0
2016.04.07	09:00:00	1228.49	1230.67	1227.02	1228.73	9731	0	0
2016.04.07	10:00:00	1228.74	1229.97	1225.78	1229.36	12549	0	0
2016.04.07	11:00:00	1229.35	1236.03	1227.36	1235.71	11698	0	0
2016.04.07	12:00:00	1235.70	1239.75	1234.22	1236.78	14254	0	0
2016.04.07	13:00:00	1236.83	1237.51	1234.69	1237.25	8320	0	0
2016.04.07	14:00:00	1237.22	1239.47	1235.43	1236.08	8940	0	0
2016.04.07	15:00:00	1236.12	1240.18	1234.42	1239.40	14275	0	0
2016.04.07	16:00:00	1239.39	1243.30	1236.46	1241.57	16573	0	0
2016.04.07	17:00:00	1241.57	1242.47	1237.67	1239.16	20160	0	0
2016.04.07	18:00:00	1239.06	1241.00	1237.82	1237.88	12048	0	0
2016.04.07	19:00:00	1237.91	1239.23	1235.81	1236.91	10137	0	0
2016.04.07	20:00:00	1236.91	1238.13	1234.90	1237.65	9212	0	0
2016.04.07	21:00:00	1237.65	1240.85	1236.62	1240.24	6045	0	0
2016.04.07	22:00:00	1240.24	1241.26	1238.35	1240.72	5036	0	0
2016.04.07	23:00:00	1240.75	1241.20	1240.12	1240.28	1039	0	0
2016.04.08	01:00:00	1239.72	1240.68	1238.83	1240.32	606	0	0
2016.04.08	02:00:00	1240.38	1240.38	1238.57	1238.71	429	0	0
2016.04.08	03:00:00	1238.71	1239.18	1236.75	1237.68	2408	0	0
2016.04.08	04:00:00	1237.68	1238.54	1235.95	1235.97	7131	0	0
2016.04.08	05:00:00	1236.02	1237.74	1235.87	1236.83	3853	0	0
2016.04.08	06:00:00	1236.78	1238.31	1236.52	1237.78	4835	0	0
2016.04.08	07:00:00	1237.77	1237.77	1235.86	1235.88	5601	0	0
2016.04.08	08:00:00	1235.89	1236.45	1234.96	1236.20	6675	0	0
2016.04.08	09:00:00	1236.23	1237.18	1234.48	1235.48	8895	0	0
2016.04.08	10:00:00	1235.49	1235.49	1231.54	1234.84	12738	0	0
2016.04.08	11:00:00	1234.92	1237.93	1233.04	1234.74	10592	0	0
2016.04.08	12:00:00	1234.74	1238.37	1233.02	1233.30	9510	0	0
2016.04.08	13:00:00	1233.20	1236.48	1229.62	1234.97	4815	0	0
2016.04.08	14:00:00	1234.93	1236.59	1232.82	1234.52	3463	0	0
2016.04.08	15:00:00	1234.49	1236.38	1232.12	1233.70	11240	0	0
2016.04.08	16:00:00	1233.74	1239.29	1232.81	1237.74	12925	0	0
2016.04.08	17:00:00	1237.70	1239.99	1236.63	1238.16	12104	0	0
2016.04.08	18:00:00	1238.06	1241.85	1237.87	1239.79	7386	0	0
2016.04.08	19:00:00	1239.79	1242.15	1239.55	1240.82	6085	0	0
2016.04.08	20:00:00	1240.82	1242.81	1240.35	1241.09	5576	0	0
2016.04.08	21:00:00	1241.09	1241.71	1239.43	1240.16	4266	0	0
2016.04.08	22:00:00	1240.22	1242.68	1239.45	1239.50	2331	0	0
2016.04.08	23:00:00	1239.45	1240.72	1239.45	1239.62	614	0	0
2016.04.11	01:00:00	1240.08	1248.09	1239.85	1245.04	1804	0	0
2016.04.11	02:00:00	1245.04	1246.12	1244.06	1244.70	2519	0	0
